Item	Vendor	Price	Date	Method	Notes
Entertainment	Cinnabon	15.608963412368393	2	Bank B Debit	
Fashion	City of Toronto	14.183965977583025	29	Bank A Debit	
Education	Cinnabon	8.47875446586591	7	Bank A Credit	Pattern serve his bad paper history.
Entertainment	City of Toronto	39.55632857091997	22	Bank A Debit	
Vacation	Chatime	27.55146608887374	23	Bank A Credit	Weight color cover section.
Vacation	Presto	39.60402113020747	21	Bank B Credit	
Career	Canadian Tire	3.695927961558909	11	Bank B Debit	
Education	Spotify	36.60385659660715	8	Cash	
Parking	Dollar Tree	26.994192212418582	21	Bank A Debit	Statement smile table anything rise.
Banking fees	Spotify	0.6228375682923382	21	Bank A Debit	
Bills	Petro	35.448942518860164	21	Bank A Credit	
Unknown	Dollarama	33.31188552413654	2	Bank B Debit	
Parking	Sick Kids foundation	28.023983865720396	26	Bank B Credit	Painting across same message work positive.
Entertainment	CanadaHelps	9.36300735370323	21	Cash	
Banking fees	TPL Foundation	0.7701770028145738	4	Bank A Credit	Save recently popular number.
Vacation	Paramount Fine Foods	7.6656666872722745	29	Bank B Debit	Daughter require other budget.
Banking fees	Rex Beauty Inc (BSW)	19.785863636968127	8	Cash	Near by indeed population relate series.
Restaurant	Chatime	7.327727061819593	14	Bank A Credit	
Organization	The Alley	7.044939224142985	9	Bank B Debit	
Student Loans	NSLSC	37.17682646627017	6	Bank A Debit	
Parking	TPL Foundation	38.03387472469148	22	Bank A Credit	Many future sea baby partner.
Parking	Loblaws	25.345315194685313	30	Bank A Credit	
Career	Amazon	32.93080439460377	23	Bank B Credit	Oil artist talk.
Gift	Longos	1.666863977722186	22	Cash	Them mission prove network improve.
Parking	Telus	14.810815700198647	20	Bank A Debit	
Pets	ABC PLANE FEE (SCAM)	9.563812569993196	26	Bank B Debit	Large institution foreign model agree person.
Organization	Longos	31.945069922164635	30	Bank A Debit	
Gasoline	ABC PLANE FEE (SCAM)	14.30535727574572	22	Cash	Forget move else.
Vacation	Spotify	21.922945156838413	24	Cash	Easy attorney wind.
Public Transit	Dollar Tree	38.64808723982634	22	Bank A Credit	Good partner identify TV interview speech.
Groceries	Longos	32.55981607832214	8	Bank A Debit	Despite decade gas.
Entertainment	Shoppers Drug Mart	23.64382768942143	8	Bank A Debit	
Organization	Daily Bread	23.594023613912807	21	Bank B Debit	
Bills	Thai Express	0.43035310645101355	28	Bank A Debit	
Public Transit	Shoppers Drug Mart	16.007809321253717	21	Bank B Credit	
Public Transit	Toronto Humane	25.27429504204578	24	Cash	
Student Loans	Telus	2.9314394138547106	25	Bank B Credit	
Pets	Real Canadian Super Store (RCSS)	34.862336186014026	5	Bank A Debit	Federal discussion key relate often seek.
Career	The Alley	1.3159225327855317	14	Bank A Credit	
Vacation	Chatime	1.0506648968617238	12	Bank B Credit	
